Solanum_lycopersicum    Solanum_pennellii
Triticum_aestivum   Triticum_turgidum
Vitis_vinifera  Vitis_labruscana_x_Vitis_vinifera
Ipomoea_trifida Ipomoea_triloba
Chrysanthemum_seticuspe Helianthus_annuus
Citrus_sinensis Citrus_maxima
Glycine_max Glycine_soja
Oryza_sativa    Oryza_glaberrima
Brassica_oleracea   Lactuca_sativa
Solanum_melongena   Cucurbita_pepo
Capsicum_annuum Capsicum_baccatum
Capsicum_annuum Capsicum_chinense
Arachis_hypogaea    Arachis_ipaensis
Arachis_hypogaea    Arachis_duranensis
Arachis_hypogaea    Arachis_monticola
Brassica_napus  Arabis_alpina
Brassica_napus  Camelina_sativa
Brassica_napus  Brassica_juncea
Brassica_napus  Brassica_nigra
Arabidopsis_thaliana    Schrenkiella_parvula_(formerly_Thellungiella_parvula)
Arabidopsis_thaliana    Hydrangea_macrophylla
